addr,bcvxcrv_usd,badger_holdings_usd
0x660802Fc641b154aBA66a62137e71f331B6d787A,283147.54,460895.64
0x6A07Ea36da7850cc89BE2523eB9423fBE7237061,262279.53,175.85
0x272817e6C8E7dBF3CB5d382FbFa0f53db4427d6A,241422.06,77743.52
0xB76782B51BFf9C27bA69C77027e20Abd92Bcf3a8,188222.49,22684.04
0xEc4FcD1aCA723f8456999c5f5d7479Dbe9528c11,172614.87,181100.72
0xde01051a9F9343252E7a74219296C4387378fA68,163407.31,416737.96
0x46DE6387a065c936740F4eDB08bd42ABEbbb78FD,143422.72,16739.62
0x788550D00579F66c06ce209D14056C8F2c0A8188,140762.97,1590.23
0xC39A192053524069b6B88bB479270F6F6E5aCab6,126697.22,52179.21
0x08E29a38e6F469834dAB09142dA41694C15d63CD,106483.28,199331.95
0xFc7e2b665062B127047171eBb5000d53880Bc88c,99008.51,1777.90
0x000E8C608473DCeE93021EB1d39fb4A7D7E7d780,85209.60,19874.66
0x6FF9CE211A9A7a984D3Fd526b644B8f8bB6b68b8,81165.61,94.30
0x3a2bE14DbB1C679380d1f34a92CAA128BEe1Fa77,77203.61,8069.70
0xc324f50E52A76CD967a51A9e41ed2a863Bb9d831,76924.66,18494.86
0x7a601F344F1c7353eBE5cc0F6F8bcC3E7aAE143a,76673.75,305814.77
0x789a9fe9d50Ecf6f16022B93BA90b65a4A04BF5d,67311.97,18694.14
0x1762371dd9c2caF3301640427346185075dE6469,62686.56,56.87
0xbf71FF2a9Be34Af7194Ae2e6F3759B663643A49E,55367.27,5071.76
0xBC1043a7366Ef7586eb56D7917C8cC5764E92020,47321.38,6.63
0xDF2BA6bf1D1A2347B28d2E5869C338aEBD8daE3b,46566.45,640.04
0x0334dC596588F9944B50e47eb75DAee803642F5F,43772.48,134.67
0x4d9ad4C310856A582b294726a4fa7a97b2169dC7,42387.52,22.14
0x2393f959c3DD3020cE88eFfE317BE9453A9728f5,40363.03,7867.83
0xD5274da7fCd2D6Ad9687DB7EB0cDA4616223AD7E,40145.81,40.66
0xfE95b935EABDa9FC47233223c057c590E95ce47B,38005.25,1102.55
0x48D93dabF29Aa5d86424A90eE60F419f1837649F,36343.13,29474.81
0x042B32Ac6b453485e357938bdC38e0340d4b9276,35488.98,27182.29
0xbe6695fB4c6FeD0385568a3dD1873746054eD958,34736.48,0.05
0xe51c270dFdEd5313E232AB39FD03b93ABa0137Fd,34365.62,18.32
0x1FF4F8aD350fb5e2310fFaB609f3E0739Ae5f517,33540.42,360.53
0x94a0575635ce1cB0Cc241918EB3f5a4c92552E0D,33004.81,16.87
0x58C0a5f11469Ea49AD1Bf0ad0D25a5caE582DD0A,32945.42,20873.65
0x465b357Bbac5F6f3BC78669Db6980f9Eaa21D0C2,32938.05,82215.91
0x52CBA35123EDeb68cf549Ef0efb4CFc5854C0Df4,31519.18,3134.30
